0 999999 1 0 0
1 999991 9 0 0
2 999975 23 0 2
3 999953 43 0 4
4 999923 72 0 5
5 999887 106 0 7
6 999839 151 0 8
7 999782 205 1 8
8 999718 267 1 9
9 999648 331 2 12
10 999571 405 1 13
11 999478 493 1 16
12 999389 572 2 23
13 999283 672 1 25
14 999175 767 2 33
15 999065 871 2 34
16 998937 991 4 31
17 998796 1120 5 35
18 998660 1245 5 34
19 998500 1390 6 42
20 998346 1531 4 51
21 998181 1687 2 51
22 998004 1852 2 52
23 997823 2016 2 55
24 997631 2190 1 59
25 997433 2369 2 66
26 997223 2557 4 74
27 997015 2748 3 75
28 996790 2955 3 74
29 996564 3161 3 76
30 996324 3383 2 75
31 996081 3601 0 84
32 995823 3837 1 87
33 995564 4073 4 87
34 995297 4316 7 89
35 995013 4579 6 84
36 994733 4826 6 96
37 994431 5106 7 97
38 994136 5375 5 104
39 993822 5653 4 119
40 993505 5948 4 108
41 993179 6249 7 109
42 992836 6560 6 114
43 992505 6862 4 108
44 992159 7184 5 109
45 991796 7509 7 123
46 991437 7821 11 133
47 991050 8169 12 140
48 990681 8511 10 146
49 990286 8874 9 143
50 989880 9240 8 141
51 989477 9614 8 132
52 989070 9985 9 138
53 988651 10360 9 149
54 988211 10759 13 145
55 987782 11151 13 153
56 987338 11561 12 153
57 986875 11982 10 153
58 986413 12418 6 146
59 985952 12829 8 157
60 985471 13265 9 166
61 984993 13707 8 159
62 984500 14159 9 169
63 983989 14612 13 175
64 983483 15080 15 167
65 982979 15542 13 174
66 982453 16025 8 182
67 981913 16516 8 177
68 981369 17006 12 191
69 980817 17524 9 184
70 980275 18018 11 182
71 979696 18537 14 190
72 979136 19044 14 193
73 978548 19574 18 210
74 977959 20110 20 215
75 977364 20658 17 208
76 976748 21231 14 201
77 976145 21783 12 200
78 975515 22368 12 194
79 974899 22925 9 206
80 974259 23501 12 221
81 973605 24092 14 229
82 972965 24670 14 246
83 972309 25271 11 242
84 971638 25886 13 235
85 970946 26528 16 221
86 970265 27134 20 230
87 969569 27778 21 223
88 968869 28428 19 221
89 968154 29080 19 237
90 967436 29743 18 222
91 966717 30408 17 226
92 965994 31079 16 227
93 965244 31760 16 233
94 964507 32437 14 239
95 963749 33130 20 243
96 962964 33838 26 261
97 962202 34539 23 256
98 961413 35277 19 249
99 960624 35987 17 271
100 959821 36721 14 272
101 959035 37428 15 286
102 958213 38190 14 292
103 957396 38937 15 280
104 956577 39682 21 276
105 955727 40440 27 284
106 954895 41209 25 288
107 954041 41987 25 295
108 953178 42777 20 305
109 952324 43569 18 283
110 951457 44364 22 286
111 950537 45220 29 267
112 949634 46018 27 296
113 948739 46835 24 313
114 947839 47657 22 325
115 946918 48511 21 336
116 945987 49363 25 304
117 945074 50200 19 305
118 944110 51087 23 298
119 943164 51946 26 314
120 942211 52817 20 327
121 941271 53673 15 334
122 940283 54582 17 338
123 939289 55476 21 350
124 938323 56345 24 356
125 937319 57274 20 346
126 936309 58192 19 362
127 935299 59111 17 359
128 934274 60063 16 339
129 933249 60988 19 357
