0 999999 1 0 0
1 999991 9 0 0
2 999975 25 0 0
3 999954 44 0 2
4 999923 72 0 5
5 999886 105 0 9
6 999838 148 0 14
7 999788 193 0 17
8 999721 258 0 16
9 999651 322 0 18
10 999573 395 0 18
11 999487 466 0 28
12 999398 548 2 31
13 999294 639 5 35
14 999178 741 5 44
15 999059 845 6 43
16 998933 958 4 53
17 998799 1082 3 54
18 998660 1211 3 50
19 998505 1355 2 48
20 998348 1497 1 49
21 998176 1649 4 55
22 998005 1801 3 65
23 997823 1962 4 73
24 997626 2143 4 73
25 997432 2316 2 79
26 997228 2504 2 75
27 997018 2704 2 65
28 996791 2905 4 73
29 996563 3114 5 68
30 996323 3330 7 74
31 996077 3557 4 86
32 995820 3785 6 89
33 995557 4016 8 101
34 995300 4249 9 102
35 995013 4504 10 111
36 994729 4762 9 111
37 994434 5028 9 110
38 994138 5296 8 116
39 993827 5582 8 110
40 993505 5884 8 103
41 993183 6174 6 108
42 992842 6490 4 106
43 992500 6797 6 114
44 992158 7105 6 128
45 991804 7426 6 127
46 991430 7768 8 130
47 991059 8107 7 130
48 990685 8445 7 132
49 990298 8802 10 126
50 989897 9177 8 124
51 989476 9555 10 132
52 989066 9918 8 145
53 988646 10306 7 151
54 988235 10670 10 167
55 987773 11104 10 154
56 987335 11510 8 139
57 986877 11934 5 143
58 986418 12355 6 136
59 985949 12772 10 156
60 985478 13193 9 173
61 984992 13642 8 174
62 984514 14080 7 178
63 983998 14558 6 169
64 983485 15028 8 159
65 982971 15489 10 172
66 982450 15971 9 171
67 981907 16460 11 184
68 981366 16942 14 199
69 980823 17438 15 194
70 980266 17948 13 203
71 979710 18447 12 209
72 979130 18974 14 204
73 978542 19508 13 213
74 977957 20045 10 215
75 977352 20609 11 197
76 976755 21166 11 186
77 976145 21718 12 188
78 975537 22278 11 186
79 974896 22856 16 204
80 974256 23432 19 225
81 973620 24015 16 224
82 972968 24606 11 241
83 972308 25196 15 249
84 971625 25814 13 255
85 970944 26431 14 262
86 970261 27045 17 262
87 969570 27666 19 264
88 968865 28302 21 264
89 968164 28948 17 260
90 967438 29607 14 264
91 966711 30269 11 264
92 965974 30943 15 256
93 965238 31619 13 259
94 964493 32299 12 255
95 963746 32991 9 245
96 962987 33668 15 262
97 962218 34374 19 259
98 961446 35070 23 265
99 960645 35802 30 269
100 959831 36538 25 276
101 959023 37290 22 276
102 958215 38018 22 284
103 957409 38769 20 279
104 956571 39533 20 270
105 955757 40277 18 283
106 954890 41068 27 270
107 954044 41847 26 281
108 953177 42656 21 270
109 952318 43431 24 279
110 951437 44252 19 277
111 950557 45028 17 315
112 949664 45859 15 316
113 948771 46666 17 319
114 947854 47507 19 328
115 946918 48344 29 311
116 946020 49164 25 329
117 945068 50027 27 332
118 944131 50890 20 339
119 943196 51743 14 338
120 942234 52622 18 335
121 941274 53475 21 352
122 940306 54376 17 342
123 939313 55273 21 346
124 938355 56144 25 350
125 937334 57082 28 326
126 936328 57996 26 349
127 935325 58903 30 349
128 934307 59836 29 352
129 933267 60788 27 362
